name,alias,area,kmlPath,description,city,street,zipCode,latitude,longitude,info,countryId,regionId,subRegionId
"ТОВ ""Трипільський Мисливець""",tov-trypillian-hunter,49400,dbdata/grounds/kyiv/1-tov-tripilskij-mislivec.kml,"Полювання в 45км від Києва - це мисливське господарство «Трипільське мисливець». На території в 50 тисяч гектар проводиться колективне та індивідуальне полювання на трофейного кабана і європейську козулю,полювання на польову і водоплавну дичину,на хутрових звірів. Натаска собак на кабана у вольєрі. На території «Трипільського мисливця» розташований мисливський будиночок зі зручностями,кухнею і обіднім залом.",м. Кагарлик,вул. Лісова 2,,49.875233,30.837870,,1,9,25
"ПП ""Соколине полісся""",sokolyne-polissya,11800,dbdata/grounds/kyiv/2-pp-sokoline-polissya.kml,,,,,,,,1,9,
"Дочірнє підприємство ""Бориспільське районне мисливсько-рибальське господарство Київського об'єднання Київської обласної ради УТМР""",boryspilske-rayonne-myslyvsko-rybalske-hospodarstvo,44518,dbdata/grounds/kyiv/3-dp-borispilske-rajonne-mislivsko-ribalske-gospodarstvo.kml,,,,,,,,1,9,
"ТОВ ""Мисливський та спортивний клуб ""КАМПА-1""",kampa-1,8123,dbdata/grounds/kyiv/4-tov-mislivskij-ta-sportivnij-klub-kampa-1.kml,,,,,,,,1,9,
"ТОВ ""Мисливський та спортивний клуб ""КАМПА-2""",kampa-2,22562,dbdata/grounds/kyiv/5-tov-mislivskij-ta-sportivnij-klub-kampa-2.kml,,,,,,,,1,9,
"ТОВ ""Сафарі-Авангард""",safari-avanhard,6180.5,dbdata/grounds/kyiv/6-tov-safari-avangard.kml,,,,,,,,1,9,
"ТОВ ""Гран - Мисливство""",hran-myslyvstvo,26530.9,dbdata/grounds/kyiv/7-tov-gran-mislivstvo.kml,,,,,,,,1,9,
"ТОВ ""Мисливсько-рибальський клуб ""Відродження""",vidrodzhennya,3200,dbdata/grounds/kyiv/8-tov-mislivsko-ribalskij-klub-vidrodzhennya.kml,,,,,,,,1,9,
"ТОВ ""Ржищівське мисливське господарство""",rzhyshchivske-myslyvske-hospodarstvo,44800,dbdata/grounds/kyiv/9-tov-rzhishivske-mislivske-gospodarstvo.kml,,,,,,,,1,9,
"ТОВ ""Поле-Вовк""",pole-vovk,19348,dbdata/grounds/kyiv/10-tov-pole-vovk.kml,,,,,,,,1,9,
"ТОВ ""Оксамит-Сервіс""",oksamyt-servis,20000,dbdata/grounds/kyiv/11-tov-oksamit-servis.kml,,,,,,,,1,9,
"ТОВ ""Українські лови""",ukrayinski-lovy,20750,dbdata/grounds/kyiv/12-tov-ukrayinski-lovi.kml,,,,,,,,1,9,
"ТОВ ""Ю 2""",yu-2,9815.6,dbdata/grounds/kyiv/13-tov-yu-2.kml,,,,,,,,1,9,
"ТОВ ""Мисливсько-рибальський клуб ""Дружба""",druzhba,19796,dbdata/grounds/kyiv/14-tov-mislivsko-ribalskij-klub-druzhba.kml,,,,,,,,1,9,
"ТОВ ""Мисливсько-рибальський клуб ""Ласка""",laska,12099,dbdata/grounds/kyiv/15-tov-mislivsko-ribalskij-klub-laska.kml,,,,,,,,1,9,
"ТОВ ""Мисливсько-рибальський клуб ""Ярик""",yaryk,30800,dbdata/grounds/kyiv/16-tov-mislivsko-ribalskij-klub-yarik.kml,,,,,,,,1,9,
"ТОВ ""Мисливське господарство ""Ошитки""",oshytky,11300,dbdata/grounds/kyiv/17-tov-mislivske-gospodarstvo-oshitki.kml,,,,,,,,1,9,
"ТОВ ""Мисливське господарство ""Київське""",kyyivske,17966,dbdata/grounds/kyiv/18-tov-mislivske-gospodarstvo-kiyivske.kml,,,,,,,,1,9,
"ТОВ ""Мисливське господарство ""БРЕТОН""",breton,10821,dbdata/grounds/kyiv/19-tov-mislivske-gospodarstvo-breton.kml,,,,,,,,1,9,
"ТОВ ""Мисливський клуб ""СКС""",myslyvskyy-klub-sks,18359.1,dbdata/grounds/kyiv/20-tov-mislivskij-klub-sks.kml,,,,,,,,1,9,
"ГО ""Мисливсько-рибальський клуб ""Кречет""",krechet,24100,dbdata/grounds/kyiv/21-go-mislivsko-ribalskij-klub-krechet.kml,,,,,,,,1,9,
"ГО ""Об'єднання по збереженню та відтворенню природи ""Обрій""",obriy,10400,dbdata/grounds/kyiv/22-go-obyednannya-po-zberezhennyu-ta-vidtvorennyu-prirodi-obrij.kml,,,,,,,,1,9,
"ГО ""Мисливсько-рибальський клуб ""Васильківщина""",vasylkivshchyna,39800,dbdata/grounds/kyiv/23-go-mislivsko-ribalskij-klub-vasilkivshina.kml,,,,,,,,1,9,
"Поліська районна громадська організація мисливців і рибалок ""Поліський край""",poliskyy-kray,13100,dbdata/grounds/kyiv/24-poliska-rajonna-gromadska-organizaciya-mislivciv-i-ribalok-poliskij-kraj.kml,,,,,,,,1,9,
"Таращанське районне громадське об'єднання ""Мисливці та рибалки""",tarashchanske-rayonne-hromadske-obyednannya-myslyvtsi-ta-rybalky,4103,dbdata/grounds/kyiv/25-tarashanske-rajonne-gromadske-obyednannya-mislivci-ta-ribalki.kml,,,,,,,,1,9,
"ТОВ ""Мисливці Полісся""",tov-myslyvtsi-polissya,6763.6,dbdata/grounds/zhytomyr/26-tov-mislivci-polissya.kml,"Отримайте унікальний досвід полювання в екологічному господарстві,пересування по якому здійснюється виключно на гужовому транспорті! Мисливське господарство «Мисливці Полісся» розташоване в 200 км від Києва,займає площу в 6700га лісових,польових і водно-болотних угідь. Проводиться індивідуальне (в тому числі і з вишки) і колективне полювання на трофейного лося,кабана,косулю,хутрових звірів та пернату дичину,рибалка з вимостків - ставок 16га (сом,судак,щука,окунь,короп,лин,червоний карась).",смт. Червоноармійськ,вул. Манзенка 12,,50.58001,28.15266,,1,5,26
"Новоград-Волиський міськрайонний ТМР ""Сокіл""",sokil,5532.74,dbdata/grounds/zhytomyr/27-novograd-voliskij-miskrajonnij-tmr-sokil.kml,,,,,,,,1,5,
"ГО ""Мисливсько-рибальський клуб ""Діана""",diana,5114,dbdata/grounds/zhytomyr/28-go-mislivsko-ribalskij-klub-diana.kml,,,,,,,,1,5,
"ГО ""МРК ""Компас""",kompas,4479.6,dbdata/grounds/zhytomyr/29-go-mrk-kompas.kml,,,,,,,,1,5,
"ГО ""Мисливський клуб ""Блазер""",blazer,3267,dbdata/grounds/zhytomyr/30-go-mislivskij-klub-blazer.kml,,,,,,,,1,5,
"ГО ""Мисливсько-рибальський клуб ""Рись-Верби""",rys-verby,3011.1,dbdata/grounds/zhytomyr/31-go-mislivsko-ribalskij-klub-ris-verbi.kml,,,,,,,,1,5,
"ГО МРК ""Артеміда""",artemida,,dbdata/grounds/zhytomyr/32-go-mrk-artemida.kml,,,,,,,,1,5,
"ТОВ ""Житниця""",zhytnytcya,3165.2,dbdata/grounds/zhytomyr/33-tov-zhitnicya.kml,,,,,,,,1,5,
"ТОВ ""Мисливський клуб ""Хантер""",hanter,5143.7,dbdata/grounds/zhytomyr/34-tov-mislivskij-klub-hanter.kml,,,,,,,,1,5,
"ТОВ МРК ""Війсьових ветеранів""",viyskovykh-veteraniv,3581.8,dbdata/grounds/zhytomyr/35-tov-mrk-vijsovih-veteraniv.kml,,,,,,,,1,5,
"ТОВ ""Квінта плюс компані""",kvinta-plyus-kompani,3668.5,dbdata/grounds/zhytomyr/36-tov-kvinta-plyus-kompani.kml,,,,,,,,1,5,
"Житомирський обласний мисливсько-рибальський клуб ""Фауна""",fauna,3059.3,dbdata/grounds/zhytomyr/37-zhitomirskij-oblasnij-mislivsko-ribalskij-klub-fauna.kml,,,,,,,,1,5,
"Житомирська обласна громадська організація ""Захист""",zahyst,3152.8,dbdata/grounds/zhytomyr/38-zhitomirska-oblasna-gromadska-organizaciya-zahist.kml,,,,,,,,1,5,
"ДП ""Овруцьке спеціалізоване лісове господарство""",ovrutske,5125,dbdata/grounds/zhytomyr/39-dp-ovrucke-specializovane-lisove-gospodarstvo.kml,,,,,,,,1,5,
"ДП ""Ємельчинське лісове господарство""",yemelchynske,36922,dbdata/grounds/zhytomyr/40-dp-yemelchinske-lisove-gospodarstvo.kml,,,,,,,,1,5,
"ДП ""Житомирський військовий лісгосп""",zhytomyrskyy-viyskovyy-lishosp,1607.8,dbdata/grounds/zhytomyr/41-dp-zhitomirskij-vijskovij-lisgosp.kml,,,,,,,,1,5,
"ДП ""Овруцьке лісове господарство""",ovrutske-lisove-hospodarstvo,5668,dbdata/grounds/zhytomyr/42-dp-ovrucke-lisove-gospodarstvo.kml,,,,,,,,1,5,
"ГО ""Радомишльські мисливці""",radomishlski-mislivci,4906.7,dbdata/grounds/zhytomyr/43-go-radomishlski-mislivci.kml,,,,,,,,1,5,
"ДП ""Бердичівське лісове господарство""",berdichivske-lisove-gospodarstvo,3924,dbdata/grounds/zhytomyr/44-dp-berdichivske-lisove-gospodarstvo.kml,,,,,,,,1,5,
"Малинська районна громадська організація ""Товариство мисливців та рибалок""",malinska-rajonna-gromadska-organizaciya-tovaristvo-mislivciv-ta-ribalok,3661.21,dbdata/grounds/zhytomyr/45-malinska-rajonna-gromadska-organizaciya-tovaristvo-mislivciv-ta-ribalok.kml,,,,,,,,1,5,